Visitor_id,Page_version,Signed_up
M001,Standard page,Yes
M002,Standard page,Yes
M003,Standard page,Yes
M004,Standard page,Yes
M005,Standard page,Yes
M006,Standard page,Yes
M007,Standard page,Yes
M008,Standard page,Yes
M009,Standard page,Yes
M010,Standard page,Yes
M011,Standard page,Yes
M012,Standard page,Yes
M013,Standard page,Yes
M014,Standard page,Yes
M015,Standard page,Yes
M016,Standard page,Yes
M017,Standard page,Yes
M018,Standard page,Yes
M019,Standard page,No
M020,Standard page,No
M021,Standard page,No
M022,Standard page,No
M023,Standard page,No
M024,Standard page,No
M025,Standard page,No
M026,Standard page,No
M027,Standard page,No
M028,Standard page,No
M029,Standard page,No
M030,Standard page,No
M031,Standard page,No
M032,Standard page,No
M033,Standard page,No
M034,Standard page,No
M035,Standard page,No
M036,Standard page,No
M037,Standard page,No
M038,Standard page,No
M039,Standard page,No
M040,Standard page,No
M041,Standard page,No
M042,Standard page,No
M043,Standard page,No
M044,Standard page,No
M045,Standard page,No
M046,Standard page,No
M047,Standard page,No
M048,Standard page,No
M049,Standard page,No
M050,Standard page,No
M051,Standard page,No
M052,Standard page,No
M053,Standard page,No
M054,Standard page,No
M055,Standard page,No
M056,Standard page,No
M057,Standard page,No
M058,Standard page,No
M059,Standard page,No
M060,Standard page,No
M061,Simplified page,Yes
M062,Simplified page,Yes
M063,Simplified page,Yes
M064,Simplified page,Yes
M065,Simplified page,Yes
M066,Simplified page,Yes
M067,Simplified page,Yes
M068,Simplified page,Yes
M069,Simplified page,Yes
M070,Simplified page,Yes
M071,Simplified page,Yes
M072,Simplified page,Yes
M073,Simplified page,Yes
M074,Simplified page,Yes
M075,Simplified page,Yes
M076,Simplified page,Yes
M077,Simplified page,Yes
M078,Simplified page,Yes
M079,Simplified page,Yes
M080,Simplified page,Yes
M081,Simplified page,Yes
M082,Simplified page,Yes
M083,Simplified page,Yes
M084,Simplified page,Yes
M085,Simplified page,Yes
M086,Simplified page,Yes
M087,Simplified page,Yes
M088,Simplified page,Yes
M089,Simplified page,Yes
M090,Simplified page,Yes
M091,Simplified page,Yes
M092,Simplified page,Yes
M093,Simplified page,Yes
M094,Simplified page,Yes
M095,Simplified page,Yes
M096,Simplified page,Yes
M097,Simplified page,Yes
M098,Simplified page,Yes
M099,Simplified page,Yes
M100,Simplified page,No
M101,Simplified page,No
M102,Simplified page,No
M103,Simplified page,No
M104,Simplified page,No
M105,Simplified page,No
M106,Simplified page,No
M107,Simplified page,No
M108,Simplified page,No
M109,Simplified page,No
M110,Simplified page,No
M111,Simplified page,No
M112,Simplified page,No
M113,Simplified page,No
M114,Simplified page,No
M115,Simplified page,No
M116,Simplified page,No
M117,Simplified page,No
M118,Simplified page,No
M119,Simplified page,No
M120,Simplified page,No
