storm_id,storm_name,observation_time,status,record_identifier,latitude,longitude,maximum_sustained_wind_knots,minimum_central_pressure_mb
AL012020,Arthur,2020-05-16 18:00:00,TD,,28.0,-78.7,30,1008
AL012020,Arthur,2020-05-17 00:00:00,TS,,28.9,-78.0,35,1006
AL012020,Arthur,2020-05-17 06:00:00,TS,,29.6,-77.6,35,1004
AL012020,Arthur,2020-05-17 12:00:00,TS,,30.3,-77.5,35,1003
AL012020,Arthur,2020-05-17 18:00:00,TS,,31.0,-77.3,40,1003
AL012020,Arthur,2020-05-18 00:00:00,TS,,31.9,-77.0,40,1003
AL012020,Arthur,2020-05-18 06:00:00,TS,,33.1,-76.7,40,1002
AL012020,Arthur,2020-05-18 12:00:00,TS,,34.4,-75.9,45,1000
AL012020,Arthur,2020-05-18 18:00:00,TS,,35.5,-74.7,45,993
AL012020,Arthur,2020-05-19 00:00:00,TS,,36.2,-73.1,50,991
AL012020,Arthur,2020-05-19 06:00:00,TS,,36.8,-71.4,50,990
AL022020,Bertha,2020-05-27 06:00:00,TS,,31.5,-78.8,40,1006
AL022020,Bertha,2020-05-27 12:00:00,TS,,32.6,-79.5,45,1005
AL022020,Bertha,2020-05-27 13:30:00,TS,L,32.9,-79.7,45,1005
AL022020,Bertha,2020-05-27 18:00:00,TD,,33.7,-80.1,30,1007
AL022020,Bertha,2020-05-28 00:00:00,TD,,34.9,-80.7,25,1008
AL032020,Cristobal,2020-06-01 18:00:00,TD,,19.4,-90.9,25,1006
AL032020,Cristobal,2020-06-02 00:00:00,TD,,19.6,-91.6,25,1005
AL032020,Cristobal,2020-06-02 06:00:00,TD,,19.6,-92.1,30,1005
AL032020,Cristobal,2020-06-02 12:00:00,TS,,19.5,-92.5,35,1004
AL032020,Cristobal,2020-06-02 18:00:00,TS,,19.2,-92.6,40,1001
AL032020,Cristobal,2020-06-03 00:00:00,TS,,19.0,-92.5,45,996
AL032020,Cristobal,2020-06-03 06:00:00,TS,,18.9,-92.3,50,994
AL032020,Cristobal,2020-06-03 12:00:00,TS,,18.8,-92.2,50,993
AL032020,Cristobal,2020-06-03 13:00:00,TS,L,18.7,-92.1,50,993
AL032020,Cristobal,2020-06-03 18:00:00,TS,,18.5,-91.9,45,994
AL032020,Cristobal,2020-06-04 00:00:00,TS,,18.2,-91.7,40,995
AL032020,Cristobal,2020-06-04 06:00:00,TS,,17.9,-91.5,35,997
AL032020,Cristobal,2020-06-04 12:00:00,TD,,17.7,-91.2,30,999
AL032020,Cristobal,2020-06-04 18:00:00,TD,,17.6,-90.8,30,999
AL032020,Cristobal,2020-06-05 00:00:00,TD,,17.9,-90.4,30,999
AL032020,Cristobal,2020-06-05 06:00:00,TS,,18.6,-90.1,35,998
