sample_date,location,latitude,longitude,sample_depth_m,karenia_brevis_cells_per_liter,abundance_category
2018-06-01,Red Reef Park Beach,26.36043,-80.06847,0.5,0.0,Not present/background
2018-06-01,Gumbo Limbo Nature Center (Lake Wyman),26.36751,-80.07118,0.5,0.0,Not present/background
2018-06-01,Bay Dock (Sarasota Bay),27.3316,-82.5779,0.5,5000.0,Very low
2018-06-01,New Pass Dock (Sarasota Bay),27.33375,-82.57938,0.5,1000.0,Not present/background
2018-06-01,Dixie Highway Bridge; E of (Indian River),27.85566,-80.49085,1.3,0.0,Not present/background
2018-06-01,Seahorse Key; 8.4 mi SW of,29.02313,-83.18087,0.5,0.0,Not present/background
2018-06-01,Seahorse Key; 2.5 mi SW of,29.08132,-83.1102,0.5,0.0,Not present/background
2018-06-01,Blacks Island; S of (St. Joseph Bay),29.719033,-85.332683,0.1,0.0,Not present/background
2018-06-01,Park Point Circle; E of (St. Joseph Bay),29.75845,-85.384433,0.1,0.0,Not present/background
2018-06-01,Dupont Drive; NW of (St. Joseph Bay),29.798433,-85.304683,0.1,0.0,Not present/background
2018-06-02,Big Carlos Pass; 5.0 mi W of,26.397833,-81.967467,0.5,0.0,Not present/background
2018-06-02,Lynn Hall Beach Park; 1.1 mi SW of,26.438767,-81.965233,0.5,0.0,Not present/background
2018-06-02,Givney Key; E of (Matlacha Pass),26.512933,-82.04985,0.5,0.0,Not present/background
2018-06-02,Sandsprit Park Boat Ramp (Manatee Pocket),27.162256,-80.1939,0.7,0.0,Not present/background
2018-06-02,Indian Riverside Park Pier (Indian River),27.224761,-80.211264,0.7,0.0,Not present/background
2018-06-02,East Midway Road; N of (Indian River),27.38745,-80.2971,0.5,0.0,Not present/background
2018-06-02,Indian River Veterans Memorial Park Boat Ramp (Indian River),27.451811,-80.322742,1.0,0.0,Not present/background
2018-06-03,Bahia Honda Key; W of (Bahia Honda Channel),24.659583,-81.283361,0.5,0.0,Not present/background
2018-06-03,Delnor Wiggens Pass State Park; W of,26.27536,-81.829485,0.5,0.0,Not present/background
2018-06-03,Placida Park Boat Ramp,26.8328,-82.269662,0.5,1667.0,Very low
2018-06-03,Barefoot Bay Pier (Indian River),27.88507,-80.5008,0.5,0.0,Not present/background
2018-06-03,Tropic; SW of (Indian River),28.1505,-80.635,0.5,0.0,Not present/background
2018-06-03,Cocoa Beach Golf Course; E of (Banana River),28.31338,-80.6298,0.2,0.0,Not present/background
2018-06-03,Steinhatchee River; W of mouth of (Deadman Bay),29.66375,-83.434983,0.2,0.0,Not present/background
2018-06-04,El Radabob Key; 4.5 mi SE of,25.110858,-80.304708,0.5,0.0,Not present/background
2018-06-04,South Marco Beach,25.91165,-81.72805,0.5,0.0,Not present/background
2018-06-04,Caxambas Park,25.9124,-81.7171,0.5,0.0,Not present/background
2018-06-04,Goodland Bridge,25.9334,-81.6496,0.5,0.0,Not present/background
2018-06-04,Lee Avenue; docks NE of (Big Marco Pass),25.9733,-81.7275,0.5,0.0,Not present/background
2018-06-04,951 Boat Ramp (Big Marco Pass),25.9804,-81.7029,0.5,333.0,Not present/background
2018-06-04,Naples Pier,26.13163,-81.8063,0.5,0.0,Not present/background
2018-06-04,Seagate,26.2073,-81.8169,0.5,0.0,Not present/background
2018-06-04,Vanderbilt Beach,26.25375,-81.82377,0.5,0.0,Not present/background
2018-06-04,Barefoot Beach State Preserve,26.30481,-81.8362,0.5,0.0,Not present/background
2018-06-04,Pelican Bay Nature Park Pier (Estero Bay),26.3584,-81.8375,0.5,0.0,Not present/background
2018-06-04,Carl Johnson Park Boat Ramp (Estero Bay),26.3936,-81.8655,0.5,0.0,Not present/background
2018-06-04,Coon Key; N of (Estero Bay),26.4287,-81.8832,0.5,0.0,Not present/background
2018-06-04,Estero River; mouth of (Estero Bay),26.4294,-81.858,0.5,0.0,Not present/background
2018-06-04,Estero River; upstream,26.43861,-81.84,0.5,0.0,Not present/background
2018-06-04,Mound House Dock (Estero Bay),26.4462,-81.9272,0.5,0.0,Not present/background
2018-06-04,Matanzas Pass (Estero Bay),26.4577,-81.9532,0.5,0.0,Not present/background
2018-06-04,Givney Key; NE of (Matlacha Pass),26.517617,-82.050167,0.5,0.0,Not present/background
2018-06-04,Harbour Isle Drive; N of (Caloosahatchee River),26.530683,-81.955833,0.5,0.0,Not present/background
2018-06-04,Buck Key; 1.9 mi NE of (Pine Island Sound),26.532117,-82.15667,0.2,0.0,Not present/background
2018-06-04,Regla Island; W of (Pine Island Sound),26.538,-82.1257,0.2,0.0,Not present/background
2018-06-04,Redfish Pass; 1.8 mi E of (Pine Island Sound),26.560417,-82.170817,0.2,333.0,Not present/background
2018-06-04,Cork Island; W of (Pine Island Sound),26.5767,-82.1347,0.2,333.0,Not present/background
2018-06-04,Hemp Key; S of (Pine Island Sound),26.5902,-82.1561,0.2,667.0,Not present/background
2018-06-04,North Captiva Island; 17 mi W of,26.591733,-82.502883,0.5,0.0,Not present/background
2018-06-04,Captiva Rocks; SW of (Pine Island Sound),26.59925,-82.18463,0.2,0.0,Not present/background
2018-06-04,Southeast 23rd Avenue; SW of (Caloosahatchee River),26.5999,-81.922633,0.5,0.0,Not present/background
2018-06-04,Captiva Pass; 17 mi W of,26.617833,-82.502717,,0.0,Not present/background
2018-06-04,Cayo Costa; 5.1 mi W of,26.674033,-82.343483,0.5,1000.0,Not present/background
2018-06-04,Boca Grande Pass,26.7117,-82.2583,0.2,84000.0,Low
2018-06-04,Cayo Pelau; 2 mi S of (Charlotte Harbor),26.74065,-82.2145,0.2,204000.0,Medium
2018-06-04,Burnt Store Marina (Charlotte Harbor),26.7614,-82.0611,0.5,0.0,Not present/background
2018-06-04,Bull Key; NW of (Bull Bay),26.782417,-82.209383,0.2,1333.0,Very low
2018-06-04,Cayo Pelau; N of (Gasparilla Sound),26.786021,-82.223062,0.2,0.0,Not present/background
2018-06-04,Sandfly Key; NE of (Gasparilla Sound),26.798,-82.231,0.2,12333.0,Low
2018-06-04,Gasparilla Pass,26.816167,-82.2805,0.2,646017.0,Medium
2018-06-04,Catfish Creek; mouth of (Gasparilla Sound),26.8164,-82.2526,0.2,643422.0,Medium
2018-06-04,Punta Gorda Boat Ramp (Charlotte Harbor),26.9092,-82.0953,0.5,0.0,Not present/background
2018-06-04,Blind Pass Beach,26.96324,-82.38565,0.5,6000.0,Very low
2018-06-04,Manasota Beach,27.01031,-82.41312,0.5,65000.0,Low
2018-06-04,Caspersen Beach,27.05703,-82.4436,0.5,341000.0,Medium
2018-06-04,Brohard Beach,27.06631,-82.448,0.5,270000.0,Medium
2018-06-04,Venice Fishing Pier; N of,27.0735,-82.4515,0.5,182000.0,Medium
2018-06-04,Service Club Park,27.07827,-82.45286,0.5,146000.0,Medium
2018-06-04,Venice Beach,27.10034,-82.46089,0.5,310000.0,Medium
2018-06-04,North Jetty,27.11382,-82.46883,0.5,236000.0,Medium
2018-06-04,Nokomis Beach,27.12332,-82.47122,0.5,202000.0,Medium
2018-06-04,Turtle Beach,27.21843,-82.51711,0.5,39000.0,Low
2018-06-04,Siesta Beach,27.26518,-82.5531,0.5,66000.0,Low
2018-06-04,South Lido Park,27.29818,-82.56739,0.5,112000.0,Medium
2018-06-04,Lido Beach Casino,27.311,-82.57718,0.5,103000.0,Medium
2018-06-04,North Lido Beach,27.31561,-82.58171,0.5,58000.0,Low
2018-06-04,Ringling Causeway,27.32682,-82.56244,0.5,43000.0,Low
2018-06-04,Bay Dock (Sarasota Bay),27.3316,-82.5779,0.5,87000.0,Low
2018-06-04,New Pass Dock (Sarasota Bay),27.33375,-82.57938,0.5,28000.0,Low
2018-06-04,Longboat Key Beach,27.37317,-82.63202,0.5,9000.0,Very low
2018-06-04,Longboat Pass Boat Ramp (Sarasota Bay),27.44602,-82.68798,0.5,12667.0,Low
2018-06-04,Palma Sola Bay Bridge,27.4959,-82.6522,0.5,667.0,Not present/background
2018-06-04,Anna Maria Island Rod & Reel Pier (Lower Tampa Bay),27.5385,-82.7402,0.5,30667.0,Low
2018-06-04,Round Island; W of (Indian River),27.55483,-80.3425,0.5,0.0,Not present/background
2018-06-04,Fletcher Point (Lower Tampa Bay),27.58512,-82.61482,0.5,0.0,Not present/background
2018-06-04,Skyway Fishing Pier; South (Lower Tampa Bay),27.6055,-82.6508,0.5,0.0,Not present/background
2018-06-04,Mullet Key; Gulf Pier,27.6133,-82.7391,0.5,0.0,Not present/background
