manufacturer,division,vehicle_line,vehicle_class,drive_system,engine_displacement_liters,rated_horsepower,city_mpg,highway_mpg,combined_mpg,co2_grams_per_mile
"American Honda Motor Co., Inc.",Honda,ACCORD,Large Cars,"2-Wheel Drive, Front",1.5,192.0,29,37,32,196.0
"American Honda Motor Co., Inc.",Honda,CIVIC 4Dr,Midsize Cars,"2-Wheel Drive, Front",1.5,180.0,33,42,36,174.0
"American Honda Motor Co., Inc.",Honda,CIVIC 4Dr,Midsize Cars,"2-Wheel Drive, Front",1.5,180.0,31,38,34,188.0
"American Honda Motor Co., Inc.",Honda,CIVIC 4Dr,Midsize Cars,"2-Wheel Drive, Front",1.5,200.0,27,37,31,206.0
"American Honda Motor Co., Inc.",Honda,CIVIC 4Dr,Midsize Cars,"2-Wheel Drive, Front",2.0,158.0,31,40,35,184.0
"American Honda Motor Co., Inc.",Honda,CIVIC 4Dr,Midsize Cars,"2-Wheel Drive, Front",2.0,158.0,30,37,33,194.0
"American Honda Motor Co., Inc.",Honda,CIVIC 5Dr,Large Cars,"2-Wheel Drive, Front",1.5,180.0,31,39,35,183.0
"American Honda Motor Co., Inc.",Honda,CIVIC 5Dr,Large Cars,"2-Wheel Drive, Front",1.5,180.0,30,37,33,193.0
"American Honda Motor Co., Inc.",Honda,CIVIC 5Dr,Large Cars,"2-Wheel Drive, Front",1.5,180.0,28,37,31,207.0
"American Honda Motor Co., Inc.",Honda,CIVIC 5Dr,Large Cars,"2-Wheel Drive, Front",2.0,158.0,30,38,33,196.0
"American Honda Motor Co., Inc.",Honda,CIVIC 5Dr,Large Cars,"2-Wheel Drive, Front",2.0,158.0,29,37,32,202.0
"American Honda Motor Co., Inc.",Honda,CIVIC 5Dr,Large Cars,"2-Wheel Drive, Front",2.0,158.0,26,36,29,220.0
"American Honda Motor Co., Inc.",Honda,CIVIC 5Dr,Large Cars,"2-Wheel Drive, Front",2.0,315.0,22,28,24,282.0
"American Honda Motor Co., Inc.",Honda,CR-V AWD,Small SUV 4WD,All Wheel Drive,1.5,190.0,27,32,29,230.0
"American Honda Motor Co., Inc.",Honda,CR-V FWD,Small SUV 2WD,"2-Wheel Drive, Front",1.5,190.0,28,34,30,212.0
"American Honda Motor Co., Inc.",Honda,CR-V FWD,Small SUV 2WD,"2-Wheel Drive, Front",1.5,190.0,28,34,30,212.0
"American Honda Motor Co., Inc.",Honda,HR-V AWD,Small Station Wagons,All Wheel Drive,2.0,158.0,25,30,27,243.0
"American Honda Motor Co., Inc.",Honda,HR-V FWD,Small Station Wagons,"2-Wheel Drive, Front",2.0,158.0,26,32,28,228.0
"American Honda Motor Co., Inc.",Acura,INTEGRA,Large Cars,"2-Wheel Drive, Front",1.5,200.0,30,37,33,196.0
"American Honda Motor Co., Inc.",Acura,INTEGRA,Large Cars,"2-Wheel Drive, Front",2.0,320.0,21,28,24,281.0
"American Honda Motor Co., Inc.",Acura,INTEGRA A-SPEC,Large Cars,"2-Wheel Drive, Front",1.5,200.0,29,36,32,202.0
"American Honda Motor Co., Inc.",Acura,INTEGRA A-SPEC,Large Cars,"2-Wheel Drive, Front",1.5,200.0,26,36,30,211.0
"American Honda Motor Co., Inc.",Acura,MDX AWD,Small SUV 4WD,All Wheel Drive,3.5,290.0,19,25,21,321.0
"American Honda Motor Co., Inc.",Acura,MDX AWD Type-S,Standard SUV 4WD,All Wheel Drive,3.0,355.0,17,21,19,340.0
"American Honda Motor Co., Inc.",Acura,MDX FWD,Small SUV 2WD,"2-Wheel Drive, Front",3.5,290.0,19,26,22,304.0
"American Honda Motor Co., Inc.",Honda,ODYSSEY FWD,"Special Purpose Vehicle, minivan 2WD","2-Wheel Drive, Front",3.5,280.0,19,28,22,300.0
"American Honda Motor Co., Inc.",Honda,ODYSSEY FWD,"Special Purpose Vehicle, minivan 2WD","2-Wheel Drive, Front",3.5,280.0,19,28,22,300.0
"American Honda Motor Co., Inc.",Honda,PASSPORT AWD,Small SUV 4WD,All Wheel Drive,3.5,280.0,19,24,21,317.0
"American Honda Motor Co., Inc.",Honda,PILOT AWD,Standard SUV 4WD,All Wheel Drive,3.5,285.0,19,25,21,316.0
"American Honda Motor Co., Inc.",Honda,PILOT FWD,Small SUV 2WD,"2-Wheel Drive, Front",3.5,285.0,19,27,22,299.0
"American Honda Motor Co., Inc.",Honda,Pilot AWD TRAILSPORT,Standard SUV 4WD,All Wheel Drive,3.5,285.0,18,23,20,338.0
"American Honda Motor Co., Inc.",Honda,Pilot AWD Touring/Elite/Black,Standard SUV 4WD,All Wheel Drive,3.5,285.0,19,25,21,322.0
"American Honda Motor Co., Inc.",Acura,RDX AWD,Small SUV 4WD,All Wheel Drive,2.0,272.0,21,27,23,282.0
"American Honda Motor Co., Inc.",Acura,RDX AWD A-SPEC,Small SUV 4WD,All Wheel Drive,2.0,272.0,21,26,23,289.0
"American Honda Motor Co., Inc.",Honda,RIDGELINE AWD,Standard Pick-up Trucks 4WD,All Wheel Drive,3.5,280.0,18,24,21,328.0
"American Honda Motor Co., Inc.",Honda,RIDGELINE AWD TrailSport,Standard Pick-up Trucks 4WD,All Wheel Drive,3.5,280.0,18,23,20,333.0
"American Honda Motor Co., Inc.",Acura,TLX AWD A-SPEC,Compact Cars,All Wheel Drive,2.0,272.0,21,29,24,281.0
"American Honda Motor Co., Inc.",Acura,TLX FWD,Compact Cars,"2-Wheel Drive, Front",2.0,272.0,22,31,25,265.0
"American Honda Motor Co., Inc.",Acura,TLX Type-S,Compact Cars,All Wheel Drive,3.0,355.0,19,25,21,303.0
Aston Martin Lagonda,AM,DB12 V8,Minicompact Cars,"2-Wheel Drive, Rear",4.0,680.0,15,22,17,394.0
Aston Martin Lagonda,AM,DBX 707,Standard SUV 4WD,4-Wheel Drive,4.0,707.0,15,20,17,417.0
Aston Martin Lagonda,AM,DBX V8,Standard SUV 4WD,4-Wheel Drive,4.0,550.0,14,20,16,434.0
Aston Martin Lagonda,AM,Valour,Two Seaters,"2-Wheel Drive, Rear",5.2,715.0,12,18,14,486.0
BMW,BMW,228i Gran Coupe,Compact Cars,"2-Wheel Drive, Front",2.0,228.0,24,34,28,233.0
BMW,BMW,228i xDrive Gran Coupe,Compact Cars,All Wheel Drive,2.0,228.0,23,33,27,245.0
BMW,BMW,230i Coupe,Subcompact Cars,"2-Wheel Drive, Rear",2.0,255.0,26,35,30,220.0
BMW,BMW,230i xDrive Coupe,Subcompact Cars,All Wheel Drive,2.0,255.0,25,33,28,245.0
BMW,BMW,330i Sedan,Compact Cars,"2-Wheel Drive, Rear",2.0,255.0,25,34,29,228.0
BMW,BMW,330i xDrive Sedan,Compact Cars,All Wheel Drive,2.0,255.0,24,33,27,245.0
BMW,BMW,430i Convertible,Subcompact Cars,"2-Wheel Drive, Rear",2.0,255.0,25,34,28,228.0
BMW,BMW,430i Coupe,Subcompact Cars,"2-Wheel Drive, Rear",2.0,255.0,25,34,28,228.0
BMW,BMW,430i Gran Coupe,Compact Cars,"2-Wheel Drive, Rear",2.0,255.0,25,34,28,228.0
BMW,BMW,430i xDrive Convertible,Subcompact Cars,All Wheel Drive,2.0,255.0,23,33,27,245.0
BMW,BMW,430i xDrive Coupe,Subcompact Cars,All Wheel Drive,2.0,255.0,23,33,27,245.0
BMW,BMW,430i xDrive Gran Coupe,Compact Cars,All Wheel Drive,2.0,255.0,23,33,27,245.0
BMW,BMW,840i Convertible,Subcompact Cars,"2-Wheel Drive, Rear",3.0,335.0,21,29,24,276.0
BMW,BMW,840i Coupe,Subcompact Cars,"2-Wheel Drive, Rear",3.0,335.0,21,29,24,257.0
BMW,BMW,840i Gran Coupe,Midsize Cars,"2-Wheel Drive, Rear",3.0,335.0,21,29,24,276.0
BMW,BMW,840i xDrive Convertible,Subcompact Cars,All Wheel Drive,3.0,335.0,21,29,24,280.0
BMW,BMW,840i xDrive Coupe,Subcompact Cars,All Wheel Drive,3.0,335.0,21,29,24,253.0
BMW,BMW,840i xDrive Gran Coupe,Midsize Cars,All Wheel Drive,3.0,335.0,21,29,24,280.0
BMW,BMW,ALPINA B8 Gran Coupe,Midsize Cars,All Wheel Drive,4.4,612.0,17,24,19,354.0
BMW,Mini,COOPER CONVERTIBLE,Minicompact Cars,"2-Wheel Drive, Front",1.5,134.0,29,38,32,200.0
BMW,Mini,COOPER CONVERTIBLE,Minicompact Cars,"2-Wheel Drive, Front",1.5,134.0,27,38,31,208.0
BMW,Mini,COOPER COUNTRYMAN,Midsize Cars,"2-Wheel Drive, Front",1.5,134.0,26,32,28,234.0
BMW,Mini,COOPER COUNTRYMAN ALL4,Midsize Cars,All Wheel Drive,1.5,134.0,23,31,26,255.0
BMW,Mini,COOPER HARDTOP 2 DOOR,Subcompact Cars,"2-Wheel Drive, Front",1.5,134.0,29,38,32,200.0
BMW,Mini,COOPER HARDTOP 2 DOOR,Subcompact Cars,"2-Wheel Drive, Front",1.5,134.0,27,38,31,208.0
BMW,Mini,COOPER HARDTOP 4 DOOR,Subcompact Cars,"2-Wheel Drive, Front",1.5,134.0,29,38,32,200.0
BMW,Mini,COOPER HARDTOP 4 DOOR,Subcompact Cars,"2-Wheel Drive, Front",1.5,134.0,27,38,31,208.0
BMW,Mini,COOPER S CLUBMAN,Midsize Cars,"2-Wheel Drive, Front",2.0,189.0,25,35,29,217.0
BMW,Mini,COOPER S CLUBMAN ALL4,Midsize Cars,All Wheel Drive,2.0,189.0,23,32,27,245.0
BMW,Mini,COOPER S CONVERTIBLE,Minicompact Cars,"2-Wheel Drive, Front",2.0,189.0,27,36,30,217.0
BMW,Mini,COOPER S CONVERTIBLE,Minicompact Cars,"2-Wheel Drive, Front",2.0,189.0,23,33,27,246.0
BMW,Mini,COOPER S COUNTRYMAN,Midsize Cars,"2-Wheel Drive, Front",2.0,189.0,24,33,28,239.0
BMW,Mini,COOPER S COUNTRYMAN ALL4,Midsize Cars,All Wheel Drive,2.0,189.0,23,31,26,245.0
BMW,Mini,COOPER S HARDTOP 2 DOOR,Subcompact Cars,"2-Wheel Drive, Front",2.0,189.0,28,38,31,205.0
BMW,Mini,COOPER S HARDTOP 2 DOOR,Subcompact Cars,"2-Wheel Drive, Front",2.0,189.0,23,33,27,252.0
BMW,Mini,COOPER S HARDTOP 4 DOOR,Subcompact Cars,"2-Wheel Drive, Front",2.0,189.0,28,38,31,205.0
BMW,Mini,COOPER S HARDTOP 4 DOOR,Subcompact Cars,"2-Wheel Drive, Front",2.0,189.0,23,33,27,252.0
BMW,Mini,JCW COUNTRYMAN ALL4,Midsize Cars,All Wheel Drive,2.0,302.0,24,30,26,245.0
BMW,Mini,JOHN COOPER WORKS CLUBMAN ALL4,Midsize Cars,All Wheel Drive,2.0,302.0,23,31,26,245.0
BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,Minicompact Cars,"2-Wheel Drive, Front",2.0,228.0,25,33,28,233.0
BMW,Mini,JOHN COOPER WORKS HARDTOP 2 DOOR,Subcompact Cars,"2-Wheel Drive, Front",2.0,228.0,26,35,29,220.0
BMW,Mini,JOHN COOPER WORKS HARDTOP 2 DOOR,Subcompact Cars,"2-Wheel Drive, Front",2.0,228.0,22,32,26,252.0
BMW,BMW,M2 Coupe,Subcompact Cars,"2-Wheel Drive, Rear",3.0,453.0,16,24,19,359.0
BMW,BMW,M2 Coupe,Subcompact Cars,"2-Wheel Drive, Rear",3.0,453.0,16,23,19,364.0
BMW,BMW,M235i xDrive Gran Coupe,Compact Cars,All Wheel Drive,2.0,302.0,24,33,27,245.0
BMW,BMW,M240i Coupe,Subcompact Cars,"2-Wheel Drive, Rear",3.0,382.0,22,32,26,257.0
BMW,BMW,M240i xDrive Coupe,Subcompact Cars,All Wheel Drive,3.0,382.0,23,32,26,253.0
BMW,BMW,M3 CS Sedan,Compact Cars,All Wheel Drive,3.0,543.0,15,22,18,369.0
BMW,BMW,M3 Competition M xDrive Sedan,Compact Cars,All Wheel Drive,3.0,503.0,16,22,18,369.0
BMW,BMW,M3 Competition Sedan,Compact Cars,"2-Wheel Drive, Rear",3.0,503.0,16,23,19,364.0
BMW,BMW,M3 Sedan,Compact Cars,"2-Wheel Drive, Rear",3.0,473.0,16,23,19,359.0
BMW,BMW,M4 Competition Coupe,Subcompact Cars,"2-Wheel Drive, Rear",3.0,503.0,16,23,19,364.0
BMW,BMW,M4 Competition M xDrive Coupe,Subcompact Cars,All Wheel Drive,3.0,503.0,16,22,18,369.0
BMW,BMW,M4 Coupe,Subcompact Cars,"2-Wheel Drive, Rear",3.0,473.0,16,23,19,359.0
BMW,BMW,M4CompetitionMxDriveConvertible,Subcompact Cars,All Wheel Drive,3.0,503.0,16,23,18,374.0
BMW,BMW,M8 Competition Convertible,Subcompact Cars,All Wheel Drive,4.4,617.0,15,22,17,401.0
BMW,BMW,M8 Competition Coupe,Subcompact Cars,All Wheel Drive,4.4,617.0,15,22,17,401.0
BMW,BMW,M8 Competition Gran Coupe,Midsize Cars,All Wheel Drive,4.4,617.0,15,22,17,401.0
BMW,BMW,M850i xDrive Convertible,Subcompact Cars,All Wheel Drive,4.4,523.0,17,24,19,354.0
BMW,BMW,M850i xDrive Coupe,Subcompact Cars,All Wheel Drive,4.4,523.0,17,24,19,352.0
BMW,BMW,M850i xDrive Gran Coupe,Midsize Cars,All Wheel Drive,4.4,523.0,17,24,19,354.0
BMW,Toyota,Supra 2.0,Two Seaters,"2-Wheel Drive, Rear",2.0,255.0,25,31,27,239.0
BMW,Toyota,Supra 3.0,Two Seaters,"2-Wheel Drive, Rear",3.0,382.0,23,31,26,255.0
BMW,Toyota,Supra 3.0,Two Seaters,"2-Wheel Drive, Rear",3.0,382.0,19,27,21,314.0
