month,electricity_sales_million_kwh
2021-02-01,17135.12051
2025-03-01,17907.96624
2022-05-01,21317.42929
2023-08-01,26988.64343
2024-11-01,18897.45894
2023-01-01,18434.14803
2024-04-01,18203.63003
2021-06-01,22220.7054
2025-07-01,26376.68597
2022-09-01,23226.35526
2023-12-01,17769.96915
2022-02-01,17215.89938
2023-05-01,20637.93311
2024-08-01,26336.58537
2021-10-01,21325.13161
2025-11-01,18143.20838
2024-01-01,18863.51077
2021-03-01,17989.94643
2025-04-01,19390.86966
2022-06-01,23518.80973
2023-09-01,24507.57703
2024-12-01,18173.17664
2023-02-01,16894.87427
2024-05-01,22838.85354
2021-07-01,23857.14557
2025-08-01,26744.21923
2022-10-01,19758.44963
2025-01-01,20085.66296
2022-03-01,18739.9783
2023-06-01,22800.17337
2024-09-01,24602.82704
2021-11-01,16615.54538
2025-12-01,18478.09193
2024-02-01,17035.72406
2021-04-01,18002.29822
2025-05-01,22623.48515
2022-07-01,25598.37486
2023-10-01,20990.9519
2023-03-01,18684.09173
2024-06-01,24477.56966
2021-08-01,24617.01449
2025-09-01,23659.22328
2022-11-01,18222.74909
2021-01-01,17939.59384
2025-02-01,18094.04054
2022-04-01,18462.79489
2023-07-01,26060.64401
2024-10-01,21184.25103
2021-12-01,18357.68697
2024-03-01,17932.37855
2021-05-01,20358.42362
2025-06-01,24542.90508
2022-08-01,25801.87745
2023-11-01,17945.04558
2022-01-01,18138.52253
2023-04-01,19226.1624
2024-07-01,26549.4924
2021-09-01,23143.46995
2025-10-01,21842.48152
2022-12-01,18819.5626
