review_id,rating,review_text,review_date
1,5.0,"If you visit Orlando, you have to take two days out to go to the Universal parks. We had so much fun. The two best rides were Spider-man at Islands of Adventure and Shrek at Universal Studios!!!",2004-02-17
2,5.0,"My family of 5 ( 2 adults, 3 kids(17,17,+3) had never visited Universal or Islands of Adventure before. All the rides were great, there was something for everyone and we enjoyed them all!!! We got the BEST travel advice ever when someone suggested to stay at one of the resorts there so we could use the express lines at the parks. Our 5 day admission costs us $415.00 with the mastercard buy 4,get 1 free park passes.With the AAA discount we paid $255.00 per night (for 4 nights) for concierge level at the Royal Pacific Resort which allowed us use of the express lines for all 5 days. Staying on the concierge level kept our out of pocket budget at less than $100.00 per day for food and souveniers. For less than $2000.00 we felt as though we were celebrities as we were whisked onto the rides with almost no wait. When the regular line for the Mummy was 90 minutes my husband and I both rode within 15 minutes, and that was with taking the time to do the child swap!! We were there June 25-29 and the parks were quite crowded by noon. We were always ready to head back to the resort by then because we'd ridden everything so we would stop at Citywalk, have lunch, and head back to the resort for a nap or swim. Early evening we'd head back to Citywalk to shop and eat. Whenever we gave our names at the resteraunts we'd show them our room key and get seated ASAP. The longest wait we had was for NBA City and that was at 7pm they had us wait 15 minutes to be seated. We are budget travellers who go on vacation every 3 years. For the money we paid this time I got a great relaxing time on top of the theme park entertainment. My husband wants to know how to do this at Walt Disney World for less than $2000.00!!!",2004-07-06
3,1.0,"Went to universal this september. What a waste of money. The whole park is one big commercial circus with just a few average rides on it. The staff is extremly rude and the lines are short at first site, but once you line up outside one of the attractions, you'll discover that the line inside the buildings is many times longer than you can see. This park charges the same prices as Disney but not even half the fun. If you're planning to go to Orlando and have money to spent, you better go to Disney!",2004-10-25
4,5.0,"I think these parks (Universal Studios and Islands of Adventure) are the best in Orlando. There's so many thrills and chills there. USF is so brash and exciting. They're not afraid to set everything around you on fire or blast you 0 to 40 in two seconds. I think that this is why it appeals to the teenage crowd. However, these aren't the same parks. One is based entirely on the movies, and one is based on a fictional world with several different themed lands. So, because it's two parks, I'll review both of them.  Universal Studios This was the original park, but it's grown a lot since its shaky opening over a decade ago. The park now includes amazing attractions. As soon as you walk in, you're met with several different things to do. Everything seems so realistic. In the New York area, there are buildings everywhere and it appears as if you're walking on a street. In the Amity area, it seems as if you will be eaten by the big shark himself-Jaws. Here are some of the highlighted attractions: Men In Black: Alien Attack: This is an interactive ride in which people of all ages can team up in their own spinning cars and careen through New York streets. Your job is to shoot all the aliens that you can find. Kids will like it too--the aliens aren't scary (sort of cartoon-looking), and the spins aren't bad. Revenge of the Mummy: This is the new attraction, so the lines are a bit long. You board a mine cart which travels through different scenes before racing through a high-speed indoor rollercoaster. Included among the madness is a launch uphill, a ceiling bursting into flames and plenty of thrilling drops. Some say that this is a good enough reason to travel to Universal. The only thing that I can say is this: ignore the hype. Whatever you do, ignore the hype. If you do, you'll be pleasantly surprised. Jaws: The ride starts out as a nice tour through the Amity lagoon. Your skipper happily points out the landmarks and everything is going as planned. Soon, a frightened call of a fellow skipper signals something much worse. The infamous shark has returned. You and your fellow boatriders are trapped in the murky depths as the animatronic bursts out of the water. The skipper tries desperately to kill it, using his grenade launcher. After a scary boat house and a wall of flames, the final showdown comes. With a blast of fog and noise, Jaws attacks for its last time, just happening to eat an electrical line instead. Anyone want fried shark? There are many, many other attractions here including the E.T. Adventure, Shrek 4-D, Twister, Earthquake, Back to the Future, T2-3D and a whole section for kids. Like I mentioned earlier, Universal has more in-your-face action but it also provides calmer things for the young ones. For example, there's Jimmy Neutron's Nicktoon Blast, which is still fun even if you're older then the targeted crowd. There's also a kid's play area and kiddie coaster. Shrek 4-D is stunning. The effects are so crisp. You see Donky flailing his hooves at you as an evil dragon bellows fire in cool 3-D. I think it's worth the visit. However, if you're traveling from afar, go to AAA travel agency and book a room at one of their hotels. It's definitely worth it. People complain of long lines, but if you stay on-site you get an Express Pass which allows you to bypass all those lines. Plus, you can walk to the parks or ride a river ferry.  Islands of Adventure The adventure begins as soon as you walk under the infamous bridge and enter the Port of Entry. This is only the first of the islands, and though it boasts no attractions, there are many secrets to be uncovered. The island is themed to be a bustling sea-side village where the adventurers gather before beginning their quest to all of the other lands. Next up is Marvel SuperHero Island. As soon as you walk in, you're greeted with adrenaline-pumping comic book style music. Everything is themed to be in a city, where Marvel superheroes (Spiderman, Hulk, Wolverine, Storm, the Fantastic Four, Captain America etc) battle it out with the ultimate villains (Magneto, Dr. Doom). There are large cut-outs of the characters in action, and they're extremely detailed and colorful. This island is home to the Incredible Hulk Rollercoaster. Instead of being a simple chainlift standup rollercoaster, you're blasted from 0 to 40 (I think) in two seconds uphill in an enclosed chainlift. Once you exit the Gamma Radiation tomb you do a complete inversion a 100 feet in the air. After this you plunge back to the earth before completing the rest of the twisted track. The beginning is worth the whole ride, in my opinion. Next to the Hulk is Spiderman. This is a must-see ride. It's a 3-D adventure in which your vehicle actually moves through sets, some of which are real and some of which are 3-D. For example, you see the shadow of Spiderman before he leaps onto your car. When he does, the vehicle shakes slightly due to his weight. Sometimes you won't know if it's real or projected imagery. At one point, there's a simulated 400 ft drop, where you almost crash into the cement before Spiderman spins a web to save you. There are other attractions, but I'll skip over them for now. The next stop is at Toon Lagoon. Several cartoons call this their home. You can join Dudley Do-Right as he sends you on the ultimate logride. There are several small drops, but they're nothing compared to the huge one at the end. Some say its the steepest and fastest one around. In your puny log, you plunge down what seems like an infinite slope before crashing through a cartoon shack, through a bunny hill, and finally to a splash down. After you've gotten soaked, you can get soaked once again on Popeye and Bluto's Bilge-Rat Barges. I'll skip the details on that, there is more to explore. The next island is Jurassic Park. If you've never heard of this phoenomanal movie, I don't know what you're doing reading this. This island is surrounded with vegetation, electric fences (for the dinosaurs), and small JP style huts. With a Discovery Center (where you can watch a baby raptor hatch or participate in some small interactive games), a raft ride, and a play area complete with cool caves, Jurassic Park is definitely worth walking through. The Jurassic Park River Adventure is the most talked-about attraction of the area. You're raft drifts through a peaceful lagoon where you're welcomed to Jurassic Park. You float by a towering Ultrasaur (like a Brontosaurus), which cranes its neck above you're head. The narrator gives you a little information about the peaceful dinosaurs, but something has to go wrong...right? Yep, this is Universal, and they're not going to leave it as a gentle drift with animatronic dinosaurs. Your raft is knocked off course and is accidentally sent to the raptor containment area. You enter the lift where raptors attack from all sides, including some spitter dinosaurs, before you face the ultimate carnivore. The raft with its survivors is put face-to-face with a T-Rex. The dinosaur pops out of the mist and roars (it looks exactly like the one in the movie). It leans its head down, poised to eat every person on board. The raft has a different idea...before you know it, you're plunging 84 ft to the bottom in an awesome splash-down. Now, that's not all the islands...there are still two awesome dueling coasters and a fantastic world of Seussian creatures. What I explained was about half of the park. Until next time...the adventure lives on!",2005-01-03
5,1.0,"3 hours to get on a ride, $5 icees and $7 for a cold pizza?? After the initial park entrance fee I expected a bit more.",2005-03-31
6,5.0,We really had a great time at this park. My 7 year old was a little frightened at some of the rides but my 9 year old went on everything. Children under 7 probably would not do well on most of the rides. We stayed on property so we got the use our room key to go to just about the front of every ride. This made the cost of the room well worth it! We loved every ride except Back to the Future. Like a previous post mentioned it was so jerky I hit my head on the back seat several times. I felt like I had whiplash and I'm only 29 years old. Both of my daughters really liked Men In Black and the Animal Planet Live show.,2005-06-08
7,4.0,"Universal studios movie theme park is a real working motion picture studio and you get to experience an incredible array of rides, shows, movie sets and attractions, from surving a twister or helping ET save his home planet. Set aside 1 to 2 days to to visit this park.  During the quieter seasons the queues are smaller so you can get round all the rides in 1 day but when the queues are busier in the peak seasons you will struggle to do it all in 1 day. As great as Universal is you should be aware that out of Universal’s parks this is the one more aimed at the family and younger children. You may find that older children and teenagers bore easier than younger children. If your looking for Thrill rides then I suggust you go next door to Islands of adventure.  If your going in october I would highly suggest you go to HALLOWEEN HORROR NIGHTS!! My boyfriend and I go every year in October so that we can do this park attraction. Due to it being done by universal studios, the makeup on some of the scaractors is really impressive and the way universal goes all out to involve the whole park is amazing!  I would suggust to get there early as the queue's can get long as this is a really popular event. Also I have found that it's hard to fit it all in, in one night so go for a FREQUENT FEAR PASS. This allows you to go as many times as you want on the following nights : September 30 and October 1, 9, 12, 13, 16, 20, 23, 27, 30 and 31. (sundays - thursday). This is the best option also is slightly quieter during the week. Friday and Saturday nights are really busy as you can imagine. I wouldn't suggust it for young children though and adult discretion is strongly advised.",2005-08-12
8,5.0,"We had a week-long break and decided to head to Orlando. Our fist stop was Universal studios on a Sunday morning at the end of June. We hardly waited in a line to get in and headed into the Universal Stuiods Park first. It was amazing for two country bumpkins like us. The streets were virtually deserted at opening time and we only waited in line at Shrek 4D. It was well worth it and yes, we did that one twice. I wish I could say the same about Twister. They promise a thrill, as close to a tornado as you could wish to get. Needless to say my hair hardly moved and the so-called tornado rushing through was more like a breeze, but I guess with all the kids in the room we couldn't expect anything more. Islands of Adventure was Great, even if you don't like thrill rides. We did the Jurassic Park ride - much to my husband's dread as he hates anything ""fast"". Sometimes I think it's more fun watching other people on some of theses rides. we did that ""fast line"" thing where you get a ticket and come back at the allocated time. That was fabulous, especially since it was so hot that we had time inbetween rides to get an ice cold drink. Yes, we did manage to do four theme parks in five days including Universal, Disney, Sea World and Nasa - Florida truly is a wonderful place and I can recommend it to anyone who has a couple of days off and nowhere to go. Oh, the Raddison Park Hotel was fantastic - organised busses to all the theme parks every morning. Well worth the stay.",2005-11-06
9,4.0,"I vacationed in Florida with my large family and visited Universal Studios and Islands of Adventure. Hulk is my favorite rollercoaster. It shocks you, not literally but it is very surprising. The Mummy Returns is also another awesome ride that you should not miss. It is another favorite of mine. There are the usual movie rides and attractions but it is fun for the day and there is always something to do. Disney will always be my favorite but these theme parks are great to pack your second week with.",2006-01-13
10,4.0,"After spending time in the Keys, we decided to leave a day early and spend our last day at Universal Studios which is close to the airport. We bought the cheaper tickets which allowed us to visit 1 side of the park (there are 2 sides). At first we thought our 4 teens (plus 11 yr old) wouldn't be entertained... we were expecting a lot more rides. However, some of the few rides they have are awesome!! The 3-D Spiderman ride was amazing, along with Duling Dragons and The Hulk. Mom and daughter loved Jurasic Park, a jungle in the middle of the city. Our 16 yr old took crazy photos with every super hero. The park is very clean, and easy to navigate. We stayed at a LaQuinta 5 minutes from the park. On Jan 4, it was 70 degrees and not very crowded. Everyone loved it. We suggest two days total at Universal (assuming the other side is just as entertaining).",2006-01-24
