review_id,split,sentiment,review
12423_9,test,pos,"Great horror comedy from Michael Davis.Iwas laughing so hard i almost peed! Great acting from Eric Jungman as the good guy who saves the day & great performance by the Jack Black-esquire like performance from Justin Urich. He was just divine in this film. This guy deserves to be a big star. Also,Aimee Brooks was good in the film as well as the girl in danger along with the guys from a killer reminiscent of Jeepers Creepers. The gore to was given in copious amounts & i loved it.I just hope they release a not rated version. Great low-budget Horror Comedy. The dead cat in the hotel sex scene is just gruesomely funny! ***** out of *****"
3742_9,train,pos,"I thoroughly enjoyed this movie, but it is nothing new.<br /><br />Everyone here is grouping it with other war movies, this movie has been miscategorized! Its not a war movie any more than ""One flew over the cuckoos nest"" is a asylum movie or ""Cool Hand Luke"" is a prison movie. This is a movie about individuality, nonconformity, self-confidence and the costs of that personality type.<br /><br />The plot is the same as ""One flew over the Cuckoos nest"" and ""Cool Hand Luke"", its in GOOD company, and it holds its own. Its these movies it should be held up against and compared, not ""Apocalypse Now"" or ""Platoon"".<br /><br />Eric"
8053_3,train,neg,"As a premise, this backwoods version of the Dead Calm storyline had promise.<br /><br />However, director Eric Red's inability to render a convincing hurricane leads to a deluge of continuity and lighting errors.<br /><br />Ultimately, the viewer is more spellbound by the bizarre weather effects than the intended storyline. Intermittent spates of ham-fisted over-direction are similarly distracting.<br /><br />Charles Dance, doing an 'inbred backwoods hardass' schtick, does his best to save the movie. But ultimately, Undertow squeals like a pig ... and has more ham to boot."
5561_8,test,pos,"An astronaut gets lost in deep space and finds himself traveling through unknown territory on board of a living spaceship accompanied by a group of alien-outlaws. This incredible plotted and enjoyable TV-installment comes along as a positive birth-fantasy. The individual characters, in conflict at the beginning of the series, have to learn to get along with each other and evolve into a powerful group at last. Most of the action takes place inside the womb of Moia, the living space-ship (who even gets pregnant and gives birth to another ship!). While science-fiction-stories are usually interested in negative birth-fantasies (watch the 'Alien'-movies for example, especially the fourth part 'Resurrection') this comes as a surprise. Also enjoyable is the absence of military hierarchy on board of the ship and the positive attitude towards sex and the human (and alien) body. One of the female characters who is actually a plant experiences 'photogasms' while being exposed to sunlight. The crew even has to go to the toilet. Wouldn't that be impossible in 'Star Trek'?"
1198_10,train,pos,"Like most other reviewers I have first seen this movie (on TV, never on the big screen), when I was a teenager. My Dad has always regarded this film highly and recommended it to me then, and I must say he was not only right, but this movie has stayed with me forever in the more than 2 decades since I saw it first time. I have seen it two or three more times since then (just a few days ago I gave it another watch) and it has not lost anything of its impact with time. It still a great and well worth to be seen movie! Manr regard Peckinpah's RIDE THE HIGH COUNTRY as one of the first and best later western, which had a realistic look at life in the old west, but the hardly known LAST HUNT is definitely the better movie and was even half a dozen years earlier. Actually it was probably 3 decades ahead of its time, or maybe it still is ...<br /><br />Although thinking hard and having certainly seen 100s of western (I like this genre) I can not remember any western as bleak and depressive as this one. Two men bound together, partly by hate, partly by not seeming to have other choices, surrounded by beautiful Ms. Padget, a crippled old man and a young Inian, leading the life of buffalo-killers until fate reaches out for one of them.<br /><br />Nobody who has ever seen this movie will be able to forget its ending and the last frames of this gem. When the camera moves on and away from Mr. Taylor a white buffalo skin comes into sight (on a tree)and echos from the past, when all the hatred began, are present again. Mr. Taylor has got his buffalo, but in the end the buffalo got him. <br /><br />Aside from the top performances of everybody involved, the intelligent script and the great dialogue, it should also be mentioned, that THE LAST HUNT is superbly photograped, I have seldomely seen a western that well shot (aside from the ones directed by Anthony Mann, which are also all superbly photographed), that all the locations are cleverly chosen and that even the soundtrack fits the picture very well.<br /><br />And director BROOKS is really a superb storyteller. Master craftsmanship!He has made quite a couple of really great movies and was successful in nearly every imaginable genre, but even in an as prolific career as this one, THE LAST HUNT still shines as one of his best, if not his best.<br /><br />Definitely would deserve a higher rating, compared to the 7-something RIDE THE HIGH COUNTRY enjoys."
5827_2,train,neg,"Don't get the impression from other reviewers that this film stinks cos it's ambivalent about the Japanese whaling industry (which, morally, is no worse than the US meat trade or the Scottish haggis cull), it stinks cos it's pretentious tosh, the sort of up-its-own-behind guff that gets modern art a bad name. That said, there are some stunning images, but there are stunning images in the average bus ride if you use your imagination, so that's no reason to go and see this nonsense. What happens in the film happens very slowly and often accompanied by a soundtrack that sounds like a cat being gutted, and then, just when you thinks it's finished, it starts again. I saw it it in a porn cinema in Rome which had been hired for the weekend to show Barney's film works, which is an admirable and clever way to reclaim what had once been a local fleapit from the dirty-old-men-in-macs brigade, but if the trendy young things and the slightly older beard-stroking Bjork fans were to be honest, everyone might have had a lot more fun if they'd just shown one of the pornoes!"
7997_1,test,neg,"This is one of those movies that is so bad it is awesome!!! It has everything an early eighties movie needs: Flared pants, Big Moustaches, Chicks with Farrah Hair, and most importantly, NINJAS!!!! I have a few choice moments to recant for you. Cole's army buddy has a strange monkey-like face and always seems to speak without moving his jaw. He gets his ass handed to him about every other scene by the thugs wanting his land so he gets drunk through the entire film. At one point his farm workers finally return after being run off by the gangster guy's hired goons and Frank, I think his name is Frank, is so moved he shouts to the whole group ""Lets Have A Cock Fight!!"" and they all gleefully move to the cock fighting area of the farm to begin the festivities. This is funny on every level possible. Whether you take it dirty or literally it still warms my heart. Another funny thing is Sho Kosugi's little grunts and over animated ninja style movements. I remember this dude from when I was a kid and he used to say he was the world's only real ninja (he had ads in martial arts magazines) if I remember correctly. My friends and I were a little ninja crazy during the time this movie came out and I can recall seeing it in the local theater many times. I was wondering as I watched this on Starz last night why every sleazy American gangster type always has a stronghold in the Phillipines and wears a white Steve Martin suit. As a matter of fact this guy goes way beyond that in requiring all of his thugs to wear white Steve Martin suits. There is a scene where it looks like 20 Steve Martin impersonators are attacking a 1970's Sears underwear model (Cole). As we wind up for the final battle Cole very clumsily breaks into the bad guy's headquarters and is immediately spotted by a secretary who in turn alerts a guard who fires off a round from his pump action shotgun not 30 feet from the bad guys and no one seems to notice or care. Cole, Wearing a completely white ninja outfit, proceeds to sneakily ascend a staircase then does a flip right into the area where all the bad guys are. The second in charge tells him he didn't need to kill everybody as they were expecting him, then gives him a ride to the bad guys huge Cock Fighting arena. Don't ask me why Cock Fighting is a huge part of this movie but it is. When they arrive Cole is still wearing his ninja mask even though everyone involved knows what he looks like without it. The final battle is approaching as Cole has killed everybody and now Sho, as I like to call him, reveals himself to have kidnapped Cole's lady aka Frank's wife, and they meet in the snazziest cockfighting arena you ever saw. Sho then, very politely I might add, releases said lady and the battle is about to start. They do their bowing and start circling each other, both masked by the way. When they join in battle it appears Cole becomes someone else intermittently ala ""Finishing The Game"" a funny spoof on completing Bruce Lee's ""Game of Death"". Cole eventually comes out on top, Kills Sho, who dies with honor by being decapitated and all is well. Next we see Cole, after ruining everyone's life is about to split town again but not before foreshadowing the brutal death of a fat guy with a hook hand and then he inexplicably winks at the camera, freeze frame, credits, done."
8186_2,train,neg,"Did anyone read the script. This has to be some of the worst writing and directing of the entire year. Three great actors, Paul Giamatti, Rachel Weisz and Miranda Richardson couldn't pull this one out. About two-thirds it looked like Giamatti eyes were saying, I can't believe I signed the contract. It's not the worst movie I ever saw, but it's on the really really bad Christmas movie list. Not enough lines, but what else can be said? Okay, the movie just doesn't move with Vaughn's con-man dialogue, his character is just a creepy guy that you just can't get past. It was just a lackluster walk through, that no one seemed to be able to get into."
10558_9,test,pos,"This is a funny, intelligent and, in a sense, realistic comedy about a 14-year-old trying to live her first love while on vacation, and also about the complex, sometimes amusing, sometimes touching, relation between a divorced father and her growing daughter... and about how far a women (not only Nicole, the teen-ager) can go to get the man she loves! I laughed a lot with this lively scenario that never drags."
4912_10,test,pos,"Warning,contains spoilers!<br /><br />This is one of the best Italian sleaze films I've seen.<br /><br />The plot has a teenage girl who is interested of occultism and has supernatural powers.Her mother is a member of satanist group and is afraid what influences it'll have on the girl.No need to worry, the girl knows just what to do and there's no return,she belongs to Satan..<br /><br />During the film odd things happen in typical italo way,there's not too much logic,but that's only good thing.It's amazing how entertaining these films are.. On the final battle we see her and her mother fighting each other (nude off course) and doing some mysterious rituals,you might guess who wins... The films final pictures leaves your mouth open and wandering why can't there be more films like this?<br /><br />There's superb music through the whole film and the actors are quite good,better than usual in these type of films.Specially Anne Heywood looks and acts good.It also has some unusual camera angles and stuff like that, so it's not boring at all.My rating is 10.<br /><br />Hopefully someone releases this on dvd."
